TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
7064000000.0	240732725.4	228782084.4	244553346.0
7065000000.0	240738746.5	228786966.6	244560059.1
7066000000.0	240744766.5	228791847.7	244566771.0
7067000000.0	240750785.1	228796727.8	244573481.5
7068000000.0	240756802.5	228801606.8	244580190.7
7069000000.0	240762818.7	228806484.7	244586898.7
7070000000.0	240768833.6	228811361.6	244593605.3
7071000000.0	240774847.3	228816237.4	244600310.6
7072000000.0	240780859.7	228821112.1	244607014.7
7073000000.0	240786870.8	228825985.7	244613717.4
7074000000.0	240792880.7	228830858.3	244620418.9
7075000000.0	240798889.3	228835729.7	244627119.1
7076000000.0	240804896.7	228840600.2	244633817.9
7077000000.0	240810902.9	228845469.5	244640515.5
7078000000.0	240816907.8	228850337.8	244647211.8
7079000000.0	240822911.4	228855205.0	244653906.8
7080000000.0	240828913.8	228860071.1	244660600.5
7081000000.0	240834914.9	228864936.1	244667292.9
7082000000.0	240840914.8	228869800.1	244673984.0
7083000000.0	240846913.5	228874663.0	244680673.9
7084000000.0	240852910.9	228879524.9	244687362.4
7085000000.0	240858907.0	228884385.6	244694049.7
7086000000.0	240864901.9	228889245.3	244700735.6
7087000000.0	240870895.6	228894104.0	244707420.3
7088000000.0	240876888.0	228898961.5	244714103.7
7089000000.0	240882879.1	228903818.0	244720785.8
7090000000.0	240888869.1	228908673.5	244727466.6
7091000000.0	240894857.7	228913527.8	244734146.1
7092000000.0	240900845.2	228918381.1	244740824.3
7093000000.0	240906831.3	228923233.3	244747501.3
7094000000.0	240912816.3	228928084.5	244754177.0
